Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-07T12_43_24,8,50,0.001,2,5,22.014871085074198,"[13.049645390070921, 0.0, 0.0, 0.0, 97.02471003530006]",91.78302156258925
2025-01-07T12_57_10,8,50,0.001,2,10,30.65306254298877,"[25.579196217494086, 28.697355533790404, 0.0, 1.7623363544813697, 97.22642460917801]",84.51222589464425
2025-01-07T13_10_54,8,50,0.001,2,15,37.08272148207108,"[49.881796690307326, 11.214495592556318, 0.9071504802561365, 25.88116817724068, 97.52899646999495]",76.81464126668726
2025-01-07T13_24_40,8,50,0.001,2,20,37.40991196515012,"[43.451536643026, 25.857002938295786, 0.3735325506937033, 20.090634441087612, 97.2768532526475]",76.21444820889168
2025-01-07T13_38_23,8,50,0.001,2,50,35.74878227972661,"[46.241134751773046, 26.591576885406464, 0.42689434364994666, 8.207452165156093, 97.2768532526475]",78.50695576620592
2025-01-07T13_52_10,8,50,0.001,2,75,39.99669992868411,"[54.23167848699764, 27.42409402546523, 0.05336179295624333, 20.644511581067473, 97.62985375693394]",73.42546846698703
2025-01-07T14_05_55,8,50,0.001,2,100,37.794943086284704,"[52.90780141843972, 19.637610186092065, 0.32017075773745995, 18.52970795568983, 97.57942511346445]",76.20348123611626
2025-01-07T14_19_33,8,50,0.001,5,5,19.556227937468485,"[0.0, 0.0, 0.0, 0.0, 97.78113968734242]",97.57474170097818
2025-01-07T14_34_30,8,50,0.001,5,10,20.42746322464351,"[4.25531914893617, 0.0, 0.0, 0.0, 97.88199697428139]",97.25918148078864
2025-01-07T14_49_29,8,50,0.001,5,15,24.82966112731719,"[26.6193853427896, 0.0, 0.0, 0.050352467270896276, 97.47856782652546]",92.28248953206483
2025-01-07T15_04_34,8,50,0.001,5,20,23.284306261229105,"[8.037825059101655, 0.0, 8.537886872998932, 1.9133937562940584, 97.93242561775088]",94.21303553634783
2025-01-07T15_19_39,8,50,0.001,5,50,30.923996494452712,"[42.12765957446808, 3.281096963761019, 0.0, 11.379657603222558, 97.8315683308119]",84.77655391603273
2025-01-07T15_34_38,8,50,0.001,5,75,36.649336803504966,"[55.60283687943263, 10.577864838393731, 0.0, 19.385699899295066, 97.68028240040343]",77.55769504092407
2025-01-07T15_49_40,8,50,0.001,5,100,37.72863452728318,"[59.810874704491724, 11.410381978452499, 0.05336179295624333, 19.385699899295066, 97.98285426122038]",76.53852920771148
2025-01-07T16_06_34,9,50,0.001,2,5,28.148289610576445,"[32.38770685579196, 0.0, 4.482390608324439, 7.7039274924471295, 96.1674230963187]",87.17031239693014
2025-01-07T16_20_23,9,50,0.001,2,10,32.15127374029924,"[36.737588652482266, 19.58863858961802, 0.05336179295624333, 6.948640483383686, 97.42813918305598]",82.47425377152388
2025-01-07T16_34_14,9,50,0.001,2,15,41.740153639465234,"[56.45390070921986, 25.51420176297747, 0.0, 29.7079556898288, 97.02471003530006]",70.9095109807208
2025-01-07T16_48_11,9,50,0.001,2,20,39.647993364851494,"[61.6548463356974, 17.62977473065622, 0.48025613660619, 21.299093655589125, 97.17599596570852]",73.61267930263473
2025-01-07T17_02_07,9,50,0.001,2,50,40.64730436029058,"[52.6241134751773, 29.13809990205681, 1.3874066168623265, 22.557905337361532, 97.52899646999495]",72.39750670123743
2025-01-07T17_15_52,9,50,0.001,2,75,39.95370448584165,"[61.08747044917258, 20.421155729676787, 0.6403415154749199, 20.14098690835851, 97.47856782652546]",73.30264350999713
2025-01-07T17_29_39,9,50,0.001,2,100,41.00105159677401,"[55.74468085106383, 28.011753183153772, 0.96051227321238, 22.759315206445116, 97.52899646999495]",72.05312660210829
2025-01-07T17_43_28,9,50,0.001,5,5,25.734343575662685,"[0.0, 6.219392752203722, 0.0, 25.6797583081571, 96.7725668179526]",90.32537158170108
2025-01-07T17_58_40,9,50,0.001,5,10,34.446136724446546,"[31.11111111111111, 9.30460333006856, 2.614727854855923, 31.973816717019133, 97.22642460917801]",79.95939098609207
2025-01-07T18_13_52,9,50,0.001,5,15,30.81420846094492,"[36.832151300236404, 18.90303623898139, 0.0, 0.0, 98.33585476550681]",85.11913547017708
2025-01-07T18_28_57,9,50,0.001,5,20,41.54878365714527,"[63.12056737588653, 17.8256611165524, 1.1205976520811098, 27.442094662638468, 98.23499747856783]",71.71885624079113
2025-01-07T18_50_25,9,50,0.001,5,50,34.38825063631435,"[47.3758865248227, 0.2448579823702253, 0.05336179295624333, 26.08257804632427, 98.18456883509835]",80.64409035906417
2025-01-07T19_05_50,9,50,0.001,5,75,35.364963254527616,"[53.522458628841605, 12.78158667972576, 0.0, 12.43705941591138, 98.08371154815936]",79.41635990308671
2025-01-07T19_21_05,9,50,0.001,5,100,39.00842177988939,"[58.53427895981087, 15.377081292850148, 0.6403415154749199, 22.507552870090635, 97.98285426122038]",74.90271043840082
