Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-05T22_11_15,10,50,0.01,5,20,50.4773054397579,"[91.20567375886525, 25.51420176297747, 50.480256136606194, 58.45921450151057, 26.727181038830057]",25.621493338239173
2025-01-05T22_27_02,10,50,0.01,5,50,53.99412020957352,"[96.45390070921985, 43.43780607247796, 44.23692636072572, 58.45921450151057, 27.382753403933435]",20.450506933056708
2025-01-05T22_41_41,10,50,0.01,5,75,54.986839817825015,"[95.41371158392435, 38.14887365328109, 57.84418356456777, 55.03524672708963, 28.49218356026223]",21.937772509604414
2025-01-05T22_56_05,10,50,0.01,5,100,54.461478877396736,"[94.46808510638299, 32.85994123408423, 59.49839914621131, 63.74622356495468, 21.73474533535048]",19.240343715960357
2025-01-05T08_51_55,5,50,0.01,2,5,42.92691031781501,"[91.63120567375887, 32.370225269343784, 24.066168623265742, 32.57804632426989, 33.98890569843671]",27.19183608024253
2025-01-05T09_05_01,5,50,0.01,2,10,56.011227197714696,"[90.59101654846336, 35.06366307541626, 49.359658484525085, 67.37160120845923, 37.67019667170953]",19.545204122994175
2025-01-05T09_17_50,5,50,0.01,2,15,55.58539294351381,"[87.18676122931443, 31.831537708129286, 51.707577374599786, 73.41389728096676, 33.78719112455875]",21.11033993443072
2025-01-05T09_30_53,5,50,0.01,2,20,58.39105966200832,"[86.57210401891253, 39.764936336924585, 61.73959445037354, 69.53675730110776, 34.34190620272315]",16.299582974808033
2025-01-05T09_43_36,5,50,0.01,2,50,55.77352476465209,"[85.29550827423168, 32.615083251714005, 66.70224119530415, 64.24974823766365, 30.005042864346947]",18.572995634885242
2025-01-05T09_56_21,5,50,0.01,2,75,59.09850249726171,"[86.85579196217495, 38.19784524975514, 66.8623265741729, 69.23464249748238, 34.34190620272315]",15.810194899411217
2025-01-05T10_09_03,5,50,0.01,2,100,60.44542488822013,"[90.0709219858156, 41.38099902056807, 68.35645677694771, 67.87512588116817, 34.54362077660111]",15.013492402609497
2025-01-05T10_21_37,5,50,0.01,5,5,26.792953723404036,"[45.815602836879435, 0.0, 12.753468516542155, 63.44410876132931, 11.951588502269288]",46.08811742614657
2025-01-05T10_34_54,5,50,0.01,5,10,44.87767143221286,"[90.30732860520094, 29.13809990205681, 28.86872998932764, 48.28801611278953, 27.786182551689357]",29.64043882713478
2025-01-05T10_48_30,5,50,0.01,5,15,45.73831398449268,"[93.94799054373523, 6.464250734573946, 41.72892209178228, 56.84793554884189, 29.702471003530007]",31.617919578552844
2025-01-05T11_02_08,5,50,0.01,5,20,51.62446474478948,"[96.26477541371158, 20.225269343780607, 50.8537886872999, 62.08459214501511, 28.693898134140188]",22.454776609979888
2025-01-05T11_15_45,5,50,0.01,5,50,55.978728350754736,"[93.61702127659575, 37.855044074436826, 53.41515474919958, 67.42195367573011, 27.584467977811393]",21.072636501555348
2025-01-05T11_29_34,5,50,0.01,5,75,57.971260298686296,"[94.37352245862884, 45.39666993143977, 54.37566702241195, 68.7311178247734, 26.979324256177513]",16.630986919754864
2025-01-05T11_43_00,5,50,0.01,5,100,58.80284176168179,"[93.80614657210403, 45.98432908912831, 65.42155816435432, 68.42900302114803, 20.37317196167423]",16.311239451962162
2025-01-05T12_06_52,6,50,0.01,2,5,48.13435431558969,"[63.167848699763596, 44.27032321253673, 47.22518676627534, 48.439073514602214, 37.56933938477055]",32.532949342774
2025-01-05T12_19_38,6,50,0.01,2,10,55.22701868717955,"[88.03782505910166, 39.128305582761996, 56.670224119530424, 57.20040281973817, 35.09833585476551]",19.71461454231414
2025-01-05T12_32_22,6,50,0.01,2,15,55.072534065339276,"[94.27895981087471, 32.32125367286974, 52.241195304162225, 66.11278952668681, 30.408472012102873]",17.792373596818972
2025-01-05T12_45_13,6,50,0.01,2,20,57.848090466179045,"[94.04255319148936, 37.071498530852104, 61.099252934898615, 65.05538771399799, 31.971759959657085]",14.848161105540429
2025-01-05T12_58_15,6,50,0.01,2,50,57.691391434224556,"[90.40189125295508, 33.692458374142994, 67.28922091782283, 67.82477341389728, 29.24861321230459]",15.5546273972073
2025-01-05T13_11_04,6,50,0.01,2,75,59.05877247666424,"[87.2340425531915, 39.42213516160627, 66.22198505869797, 69.88922457200403, 32.526475037821484]",16.740883422639047
2025-01-05T13_23_48,6,50,0.01,2,100,59.19715973737264,"[86.7612293144208, 35.84720861900098, 70.75773745997866, 68.42900302114803, 34.190620272314675]",16.725650216539435
2025-01-05T13_36_43,6,50,0.01,5,5,19.287108871221527,"[55.13002364066194, 0.0, 11.899679829242263, 29.40584088620342, 0.0]",14.958904223514566
2025-01-05T13_50_12,6,50,0.01,5,10,36.178602202239304,"[49.40898345153664, 15.475024485798237, 6.08324439701174, 72.40684793554884, 37.518910741301056]",42.63260771861643
2025-01-05T14_03_32,6,50,0.01,5,15,41.61228792678663,"[94.23167848699764, 23.604309500489716, 22.305229455709714, 38.066465256797585, 29.853756933938474]",30.29151596699849
2025-01-05T14_16_51,6,50,0.01,5,20,52.264340571536216,"[95.36643026004728, 26.199804113614107, 48.025613660619, 66.56596173212488, 25.163893091275845]",18.95927976753258
2025-01-05T14_30_12,6,50,0.01,5,50,51.9527209038799,"[97.11583924349881, 35.25954946131244, 41.19530416221985, 59.818731117824775, 26.374180534543623]",20.671349392340105
2025-01-05T14_43_48,6,50,0.01,5,75,55.26587422457008,"[95.41371158392435, 27.864838393731635, 61.47278548559232, 66.91842900302115, 24.659606656580937]",19.129383946676164
2025-01-05T14_57_32,6,50,0.01,5,100,58.794705981276095,"[95.46099290780143, 39.960822722820765, 64.3009605122732, 66.91842900302115, 27.332324760463944]",17.272003512115734
2025-01-05T08_51_55,5,50,0.01,2,5,42.92691031781501,"[91.63120567375887, 32.370225269343784, 24.066168623265742, 32.57804632426989, 33.98890569843671]",27.19183608024253
2025-01-05T09_05_01,5,50,0.01,2,10,56.011227197714696,"[90.59101654846336, 35.06366307541626, 49.359658484525085, 67.37160120845923, 37.67019667170953]",19.545204122994175
2025-01-05T09_17_50,5,50,0.01,2,15,55.58539294351381,"[87.18676122931443, 31.831537708129286, 51.707577374599786, 73.41389728096676, 33.78719112455875]",21.11033993443072
2025-01-05T09_30_53,5,50,0.01,2,20,58.39105966200832,"[86.57210401891253, 39.764936336924585, 61.73959445037354, 69.53675730110776, 34.34190620272315]",16.299582974808033
2025-01-05T09_43_36,5,50,0.01,2,50,55.77352476465209,"[85.29550827423168, 32.615083251714005, 66.70224119530415, 64.24974823766365, 30.005042864346947]",18.572995634885242
2025-01-05T09_56_21,5,50,0.01,2,75,59.09850249726171,"[86.85579196217495, 38.19784524975514, 66.8623265741729, 69.23464249748238, 34.34190620272315]",15.810194899411217
2025-01-05T10_09_03,5,50,0.01,2,100,60.44542488822013,"[90.0709219858156, 41.38099902056807, 68.35645677694771, 67.87512588116817, 34.54362077660111]",15.013492402609497
2025-01-05T10_21_37,5,50,0.01,5,5,26.792953723404036,"[45.815602836879435, 0.0, 12.753468516542155, 63.44410876132931, 11.951588502269288]",46.08811742614657
2025-01-05T10_34_54,5,50,0.01,5,10,44.87767143221286,"[90.30732860520094, 29.13809990205681, 28.86872998932764, 48.28801611278953, 27.786182551689357]",29.64043882713478
2025-01-05T10_48_30,5,50,0.01,5,15,45.73831398449268,"[93.94799054373523, 6.464250734573946, 41.72892209178228, 56.84793554884189, 29.702471003530007]",31.617919578552844
2025-01-05T11_02_08,5,50,0.01,5,20,51.62446474478948,"[96.26477541371158, 20.225269343780607, 50.8537886872999, 62.08459214501511, 28.693898134140188]",22.454776609979888
2025-01-05T11_15_45,5,50,0.01,5,50,55.978728350754736,"[93.61702127659575, 37.855044074436826, 53.41515474919958, 67.42195367573011, 27.584467977811393]",21.072636501555348
2025-01-05T11_29_34,5,50,0.01,5,75,57.971260298686296,"[94.37352245862884, 45.39666993143977, 54.37566702241195, 68.7311178247734, 26.979324256177513]",16.630986919754864
2025-01-05T11_43_00,5,50,0.01,5,100,58.80284176168179,"[93.80614657210403, 45.98432908912831, 65.42155816435432, 68.42900302114803, 20.37317196167423]",16.311239451962162
2025-01-05T12_06_52,6,50,0.01,2,5,48.13435431558969,"[63.167848699763596, 44.27032321253673, 47.22518676627534, 48.439073514602214, 37.56933938477055]",32.532949342774
2025-01-05T12_19_38,6,50,0.01,2,10,55.22701868717955,"[88.03782505910166, 39.128305582761996, 56.670224119530424, 57.20040281973817, 35.09833585476551]",19.71461454231414
2025-01-05T12_32_22,6,50,0.01,2,15,55.072534065339276,"[94.27895981087471, 32.32125367286974, 52.241195304162225, 66.11278952668681, 30.408472012102873]",17.792373596818972
2025-01-05T12_45_13,6,50,0.01,2,20,57.848090466179045,"[94.04255319148936, 37.071498530852104, 61.099252934898615, 65.05538771399799, 31.971759959657085]",14.848161105540429
2025-01-05T12_58_15,6,50,0.01,2,50,57.691391434224556,"[90.40189125295508, 33.692458374142994, 67.28922091782283, 67.82477341389728, 29.24861321230459]",15.5546273972073
2025-01-05T13_11_04,6,50,0.01,2,75,59.05877247666424,"[87.2340425531915, 39.42213516160627, 66.22198505869797, 69.88922457200403, 32.526475037821484]",16.740883422639047
2025-01-05T13_23_48,6,50,0.01,2,100,59.19715973737264,"[86.7612293144208, 35.84720861900098, 70.75773745997866, 68.42900302114803, 34.190620272314675]",16.725650216539435
2025-01-05T13_36_43,6,50,0.01,5,5,19.287108871221527,"[55.13002364066194, 0.0, 11.899679829242263, 29.40584088620342, 0.0]",14.958904223514566
2025-01-05T13_50_12,6,50,0.01,5,10,36.178602202239304,"[49.40898345153664, 15.475024485798237, 6.08324439701174, 72.40684793554884, 37.518910741301056]",42.63260771861643
2025-01-05T14_03_32,6,50,0.01,5,15,41.61228792678663,"[94.23167848699764, 23.604309500489716, 22.305229455709714, 38.066465256797585, 29.853756933938474]",30.29151596699849
2025-01-05T14_16_51,6,50,0.01,5,20,52.264340571536216,"[95.36643026004728, 26.199804113614107, 48.025613660619, 66.56596173212488, 25.163893091275845]",18.95927976753258
2025-01-05T14_30_12,6,50,0.01,5,50,51.9527209038799,"[97.11583924349881, 35.25954946131244, 41.19530416221985, 59.818731117824775, 26.374180534543623]",20.671349392340105
2025-01-05T14_43_48,6,50,0.01,5,75,55.26587422457008,"[95.41371158392435, 27.864838393731635, 61.47278548559232, 66.91842900302115, 24.659606656580937]",19.129383946676164
2025-01-05T14_57_32,6,50,0.01,5,100,58.794705981276095,"[95.46099290780143, 39.960822722820765, 64.3009605122732, 66.91842900302115, 27.332324760463944]",17.272003512115734
2025-01-05T16_46_54,7,50,0.01,2,75,59.172164576765546,"[86.85579196217495, 36.385896180215475, 69.85058697972252, 69.98992950654582, 32.77861825516894]",15.169869588061717
2025-01-05T16_59_26,7,50,0.01,2,100,59.84725643686522,"[83.40425531914893, 40.1077375122429, 73.10565635005337, 69.08358509566969, 33.53504790721129]",15.471748579471255
2025-01-05T17_14_21,7,50,0.01,5,5,20.769626919165088,"[30.023640661938533, 7.492654260528893, 0.8004268943436499, 50.40281973816717, 15.128593040847202]",39.93144437792879
2025-01-05T17_27_51,7,50,0.01,5,10,43.13311804332755,"[93.90070921985816, 27.7179236043095, 18.56990394877268, 43.00100704934542, 32.47604639435199]",32.525745395050826
